subj,session,time,person,chat,form,gloss,obj,gs_rel,context,spoken_obj,gestured_obj,referent,comments
43,5,,parent,come here .,hold~,take hand,hand,Add,,,,,
43,5,,parent,see ?,,,,,,,,,
43,5,,parent,that says forgetmenot .,,,,,,forgetmenot,,forgetmenot,
43,5,,parent,where we put the seeds .,,,,,,seed,,seed,
43,5,0:21:37,parent,,hold,take watering can,watering can,Only Gesture,,,,,
43,5,0:21:41,parent,right in here .,continuous point,ground where forgetmenot seeds are,ground where forgetmenot seeds are,Disambiguate,,,,,
43,5,,parent,okay .,,,,,,,,,
43,5,,parent,now they're all +...,,,,,,,,,
43,5,,parent,not thirsty any more because we gave them water .,,,,,,water,,water,
43,5,,parent,okay ?,,,,,,,,,
43,5,,parent,they're saying thank+you .,,,,,,,,,
43,5,,child,how_about they saying ?,,,,,,,,,
43,5,,parent,&xxx .,,,,,,,,,
43,5,,parent,thank+you .,,,,,,,,,
43,5,,child,they said thank+you .,,,,,,,,,
43,5,,child,how_about giant dump+truck ?,,,,,,dumptruck,,dumptruck,
43,5,,parent,it is a giant dump+truck .,,,,,,dumptruck,,dumptruck,
43,5,,child,it +...,,,,,,,,,
43,5,,child,whole body tips .,,,,,,body,,body,
43,5,,parent,"Lincoln, you want some water+melon ?",,,,,,child; watermelon,,child; watermelon,
43,5,0:22:42,parent,you want me get you some water+melon ?,,,,,,watermelon,,watermelon,
43,5,,child,,,,,,C singing working on the railroad?,,,,
43,5,,parent,,,,,,C singing working on the railroad?,,,,
43,5,0:24:45,child,can I sit in the sun ?,,,,,,sun,,sun,
43,5,0:24:45,parent,,palm,bench,bench,Only Gesture,,,bench,bench,
43,5,,parent,want to sit on the bench ?,,,,,,bench,,bench,
43,5,,child,can I sit in the sun ?,,,,,,sun,,sun,
43,5,,parent,"yes, you can sit in the sun .",,,,,,sun,,sun,
43,5,,child,yes .,,,,,,,,,
43,5,,child,it +...,,,,,,,,,
43,5,,parent,&xxx .,,,,,,,,,
43,5,0:25:21,child,share .,hold,take watermelon on fork,watermelon on fork,Add,,,,,
43,5,,parent,yeah .,,,,,,,,,
43,5,,parent,thank+you .,,,,,,,,,
43,5,,child,and one for me .,,,,,,,,,
43,5,,parent,mmhm .,,,,,,,,,
43,5,,parent,remember what water is in Spanish ?,,,,,,water,,water,
43,5,,child,leche@f .,,,,,spanish for milk,,,,
43,5,,parent,,,,,,spanish for milk,,,,
43,5,,parent,"no, leche, that's milk .",,,,,,milk,,milk,
43,5,,parent,what's water+melon ?,,,,,,watermelon,,watermelon,
43,5,,child,"&uh, sandia@f .",,,,,spanish for watermelon,,,,
43,5,,parent,,,,,,spanish for watermelon,,,,
43,5,,parent,that's right .,,,,,,,,,
43,5,,parent,we'll throw that away .,,,,,,,,,
43,5,,child,it have dirt on it .,,,,,,dirt,,dirt,
43,5,,parent,"yeah, it does have dirt on it .",,,,,,dirt,,dirt,
43,5,0:26:31,parent,that's kind+of big .,,,,,,,,,
43,5,,parent,let's break this one # cut them in half .,,,,,,,,,
43,5,0:27:49,child,can I eat nose ?,,,,,,nose,,nose,
43,5,0:27:51,parent,no .,shake,no,,Reinforce,,,,,
43,5,,parent,okay .,,,,,,,,,
43,5,,parent,that's Daddy's game .,,,,,,dad,,dad,
43,5,,parent,you going to get my nose ?,,,,,,nose,,nose,
43,5,,child,yes .,,,,,,,,,
43,5,0:28:09,parent,be gentle .,point,M's nose,M's nose,Add,,,nose,nose,
43,5,0:28:15,parent,"&oh, you got my nose .",flip,exclamation,,Reinforce,,nose,,nose,
43,5,,parent,where is it ?,,,,,,,,,
43,5,,parent,where'd it go ?,,,,,,,,,
43,5,,parent,can I have it back ?,,,,,,,,,
